"","price","type.residential","no.beds","size.sq.meter","apart.area.name","area.name","category"
"4329",36999,"Apartment","1 ",637," Midtown"," Dubai Production City (IMPZ)","Featured"
"4330",55000,"Apartment","1 ",822," Al Andalus"," Jumeirah Golf Estates","Featured"
"4331",45000,"Apartment","studio ",575,"Signature Livings"," Jumeirah Village Circle","Featured"
"4332",130000,"Apartment","1 ",1113," Marina Quays"," Dubai Marina","Featured"
"4333",70000,"Apartment","studio ",689,"Paramount Tower Hotel & Residences"," Business Bay","Featured"
"4334",84990,"Apartment","1 ",772,"Damac Maison The Distinction"," Downtown Dubai","Featured"
"4335",119000,"Apartment","2 ",900,"Paramount Tower Hotel & Residences"," Business Bay","Featured"
"4336",50000,"Apartment","1 ",906," Madinat Badr"," Al Muhaisnah","Featured"
"4337",27999,"Apartment","studio ",430," The Drive"," DAMAC Hills","Featured"
"4338",43000,"Apartment","1 ",815," The Drive"," DAMAC Hills","Featured"
"4339",21999,"Apartment","studio ",438,"Celestia"," Dubai South (Dubai World Central)","Featured"
"4340",37899,"Apartment","1 ",967,"Celestia"," Dubai South (Dubai World Central)","Featured"
"4341",54000,"Apartment","1 ",727," Marina Diamonds"," Dubai Marina","Featured"
"4342",210000,"Apartment","2 ",1500," Amwaj"," Jumeirah Beach Residence","Featured"
"4343",170000,"Apartment","2 ",1545," Emaar 6 Towers"," Dubai Marina","Featured"
"4344",86500,"Apartment","1 ",945,"Al Hawai Tower"," Sheikh Zayed Road","Featured"
"4345",52000,"Apartment","1 ",920," Mankhool"," Bur Dubai","Featured"
"4346",120000,"Apartment","1 ",812," Madinat Jumeirah Living"," Umm Suqeim","Featured"
"4347",228000,"Apartment","2 ",1400,"Barcelo Residences"," Dubai Marina","Featured"
"4348",160000,"Apartment","3 ",1684," Creek Horizon"," Dubai Creek Harbour (The Lagoons)","Featured"
"4349",62000,"Apartment","2 ",1370,"Stadium Point"," Dubai Sports City","Featured"
"4350",28000,"Apartment","studio ",500," Elite Sports Residence"," Dubai Sports City","Featured"
"4351",54000,"Apartment","1 ",753," Al Arta"," Greens","Featured"
"4352",266400,"Apartment","1 ",1200,"Sarai Apartments"," Palm Jumeirah","Featured"
"4353",NA,"Apartment","3 ",2633," Emaar 6 Towers"," Dubai Marina","Featured"
"4354",42999,"Apartment","1 ",893,"Jaddaf Views"," Al Jaddaf","Featured"
"4355",85000,"Apartment","2 ",1472," Golf Vista"," DAMAC Hills","Featured"
"4356",32000,"Apartment","1 ",650,"Al Hamriya"," Bur Dubai","Featured"
"4357",65000,"Apartment","2 ",1400,"Al Barsha 1"," Al Barsha","Featured"
"4358",34000,"Apartment","1 ",800,"Serena Residence"," Jumeirah Village Circle","Featured"
"4359",170000,"Apartment","2 ",1760,"Elite Business Bay Residence"," Business Bay","Featured"
"4360",160000,"Apartment","2 ",1430,"The Residences"," Downtown Dubai","Featured"
"4361",45000,"Apartment","studio ",416,"Signature Livings"," Jumeirah Village Circle","Featured"
"4362",110000,"Apartment","1 ",990," 29 Burj Boulevard"," Downtown Dubai","Featured"
"4363",105000,"Apartment","1 ",877," Standpoint Towers"," Downtown Dubai","Featured"
"4364",99999,"Apartment","1 ",810," District One"," Mohammed Bin Rashid City","Featured"
"4365",140000,"Apartment","1 ",1386,"Azure Residences"," Palm Jumeirah","Featured"
"4366",50000,"Apartment","1 ",850,"Mankhool"," Bur Dubai","Featured"
"4367",70000,"Apartment","2 ",1580,"Mankhool"," Bur Dubai","Featured"
"4368",50000,"Apartment","2 ",1250," Al Qusais Residential Area"," Al Qusais","Featured"
"4369",105000,"Apartment","3 ",1937," Al Rostomani Towers"," Sheikh Zayed Road","Featured"
"4370",26000,"Apartment","studio ",340,"O2 Tower"," Jumeirah Village Circle","Featured"
"4371",230000,"Apartment","2 ",1546," Burj Khalifa Area"," Downtown Dubai","Featured"
"4372",65000,"Apartment","1 ",1020,"Riah Towers"," Culture Village","Featured"
"4373",350000,"Apartment","3 ",2349," Vida Residence"," The Hills","Featured"
"4374",290000,"Apartment","2 ",1372,"Vida Residence Downtown"," Downtown Dubai","Featured"
"4375",68000,"Apartment","1 ",941," Lake Elucio"," Jumeirah Lake Towers","Featured"
"4376",58000,"Apartment","1 ",840,"Art XV"," Business Bay","Featured"
"4377",NA,"Apartment","studio ",500,"May Residence"," Jumeirah Village Circle","Featured"
"4378",119999,"Apartment","1 ",810," District One"," Mohammed Bin Rashid City","Featured"
"4379",48000,"Apartment","1 ",970,"Al Barsha 1"," Al Barsha","Featured"
"4380",54999,"Apartment","1 ",1050,"Al Barsha 1"," Al Barsha","Featured"
"4381",65000,"Apartment","1 ",1043," Green Community West"," Green Community","Featured"
"4382",60000,"Apartment","1 ",753," Al Ghozlan"," Greens","Featured"
"4383",45000,"Apartment","studio ",575,"Signature Livings"," Jumeirah Village Circle","Featured"
"4384",60000,"Apartment","1 ",988," Al Barsha 1"," Al Barsha","Featured"
"4385",32000,"Apartment","studio ",395,"Azizi Star"," Al Furjan","Featured"
"4386",55000,"Apartment","1 ",783," Al Raffa"," Bur Dubai","Featured"
"4387",30000,"Apartment","studio ",300,"Al Hamriya"," Bur Dubai","Featured"
"4388",125000,"Apartment","1 ",700,"Roda Al Murooj"," Downtown Dubai","Featured"
"4389",49000,"Apartment","1 ",500,"Jumeirah 1"," Jumeirah","Featured"
"4390",280000,"Apartment","2 ",1500,"The Address Residence Fountain Views"," Downtown Dubai","Featured"
"4391",114999,"Apartment","1 ",868,"BLVD Heights"," Downtown Dubai","Featured"
"4392",50000,"Apartment","2 ",1300,"Mankhool"," Bur Dubai","Featured"
"4393",270000,"Apartment","2 ",1447,"The Address Residence Fountain Views"," Downtown Dubai","Featured"
"4394",35000,"Apartment","1 ",900,"Spain Cluster"," International City","Featured"
"4395",115000,"Apartment","1 ",930,"Boulevard Point"," Downtown Dubai","Featured"
"4396",32000,"Apartment","studio ",520,"O2 Tower"," Jumeirah Village Circle","Featured"
"4397",90000,"Apartment","1 ",960,"Elite Residence"," Dubai Marina","Featured"
"4398",149990,"Apartment","2 ",1587," DAMAC Towers by Paramount"," Business Bay","Featured"
"4399",32000,"Apartment","studio ",432,"O2 Tower"," Jumeirah Village Circle","Featured"
"4400",75000,"Apartment","1 ",714,"DAMAC Maison The Vogue"," Business Bay","Featured"
"4401",60000,"Apartment","1 ",805," Lake Allure"," Jumeirah Lake Towers","Featured"
"4402",34500,"Apartment","1 ",1012,"Dunes Village"," Dubai Investment Park","Featured"
"4403",58000,"Apartment","2 ",1300,"Al Barsha 1"," Al Barsha","Featured"
"4404",190000,"Apartment","2 ",1778,"Anantara Residences"," Palm Jumeirah","Featured"
"4405",45000,"Apartment","1 ",689,"Majestique Residence"," Dubai South (Dubai World Central)","Featured"
"4406",75000,"Apartment","1 ",1006,"Ubora Towers"," Business Bay","Featured"
"4407",54000,"Apartment","1 ",1000,"Al Barsha 1"," Al Barsha","Featured"
"4408",70000,"Apartment","2 ",1300,"Al Barsha 1"," Al Barsha","Featured"
"4409",69999,"Apartment","2 ",1300,"Al Barsha 1"," Al Barsha","Featured"
"4410",55000,"Apartment","1 ",1000,"Mankhool"," Bur Dubai","Featured"
"4411",50000,"Apartment","1 ",850,"Mankhool"," Bur Dubai","Featured"
"4412",29999,"Apartment","1 ",600,"Seasons Community"," Jumeirah Village Circle","Featured"
"4413",50000,"Apartment","1 ",1100,"Al Barsha 1"," Al Barsha","Featured"
"4414",70000,"Apartment","2 ",1300,"Mankhool"," Bur Dubai","Featured"
"4415",70000,"Apartment","2 ",1580,"Mankhool"," Bur Dubai","Featured"
"4416",60000,"Apartment","2 ",882,"Majestique Residence"," Dubai South (Dubai World Central)","Featured"
"4417",60000,"Apartment","1 ",796,"Fairview Residency"," Business Bay","Featured"
"4418",550000,"Apartment","3 ",3800," The Crescent"," Palm Jumeirah","Featured"
"4419",62500,"Apartment","1 ",1000,"Laya Residences"," Jumeirah Village Circle","Featured"
"4420",55000,"Apartment","2 ",1550," Hor Al Anz"," Deira","Featured"
"4421",38000,"Apartment","studio ",492,"The Square Tower"," Jumeirah Village Circle","Featured"
"4422",75000,"Apartment","3 ",1500," Al Raffa"," Bur Dubai","Featured"
"4423",60000,"Apartment","1 ",850," Orchid"," DAMAC Hills","Featured"
"4424",85000,"Apartment","1 ",721,"Ascott Park Place"," Sheikh Zayed Road","Featured"
"4425",125000,"Apartment","1 ",1100," Grandeur Residences"," Palm Jumeirah","Featured"
"4426",45990,"Apartment","1 ",1050," Zen Cluster"," Discovery Gardens","Featured"
"4427",77399,"Apartment","3 ",1747,NA,"Al Jafiliya","Featured"
"4428",145000,"Apartment","1 ",731,"Vida Residence Downtown"," Downtown Dubai","Featured"
"4429",90000,"Apartment","2 ",1130," Creekside 18"," Dubai Creek Harbour (The Lagoons)","Featured"
"4430",40000,"Apartment","1 ",850,"Al Quoz 1"," Al Quoz","Featured"
"4431",36000,"Apartment","studio ",401,"Lawnz by Danube"," International City","Featured"
"4432",57000,"Apartment","2 ",933,"Lawnz by Danube"," International City","Featured"
"4433",55000,"Apartment","2 ",845,"Hor Al Anz"," Deira","Featured"
"4434",130000,"Apartment","1 ",800,"Dubai Marina Moon"," Dubai Marina","Featured"
"4435",30000,"Apartment","1 ",745,"Emirates Cluster"," International City","Featured"
"4436",52000,"Apartment","1 ",860,"Al Barsha 1"," Al Barsha","Featured"
"4437",30000,"Apartment","studio ",707," Al Barsha South"," Al Barsha","Featured"
"4438",78000,"Apartment","1 ",866," Jumeira Beach Road"," Jumeirah","Featured"
"4439",60000,"Apartment","1 ",485,"Collective 2.0"," Dubai Hills Estate","Featured"
"4440",65000,"Apartment","1 ",485,"Collective 2.0"," Dubai Hills Estate","Featured"
"4441",80000,"Apartment","1 ",980,"Park Gate Residences"," Al Kifaf","Featured"
"4442",26000,"Apartment","studio ",460,"Desert Sun"," Dubai Residence Complex","Featured"
"4443",62000,"Apartment","3 ",1650,"Al Nahda 2"," Al Nahda","Featured"
"4444",38000,"Apartment","2 ",1000,"Al Nahda 2"," Al Nahda","Featured"
"4445",67000,"Apartment","3 ",2421,"Abu Hail"," Deira","Featured"
"4446",80000,"Apartment","2 ",1700,"Al Muraqqabat"," Deira","Featured"
"4447",109999,"Apartment","2 ",2100,"Al Waleed Building"," Jumeirah Village Circle","Featured"
"4448",37000,"Apartment","1 ",811,"The Manhattan Tower"," Jumeirah Village Circle","Featured"
"4449",24000,"Apartment","studio ",409,"Cordoba Palace"," Dubai Silicon Oasis","Featured"
"4450",38000,"Apartment","studio ",410,"Romaithi Building"," Al Jaddaf","Featured"
"4451",128000,"Apartment","3 ",1900," Rimal"," Jumeirah Beach Residence","Featured"
"4452",70000,"Apartment","1 ",934,"Al Sayyah Residence"," Arjan","Featured"
"4453",323900,"Apartment","2 ",1600,"Sarai Apartments"," Palm Jumeirah","Featured"
"4454",80000,"Apartment","2 ",1700,"Al Muraqqabat"," Deira","Featured"
"4455",189999,"Apartment","1 ",967," Marina Gate"," Dubai Marina","Featured"
"4456",67000,"Apartment","3 ",1419," Elite Sports Residence"," Dubai Sports City","Featured"
"4457",31000,"Apartment","studio ",609,"Lincoln Park"," Arjan","Featured"
"4458",27000,"Apartment","studio ",405," The Drive"," DAMAC Hills","Featured"
"4459",130000,"Apartment","2 ",1400,"Yacht Bay"," Dubai Marina","Featured"
"4460",33000,"Apartment","studio ",500,"The Square Tower"," Jumeirah Village Circle","Featured"
"4461",250000,"Apartment","3 ",1610,"Elite Downtown"," Downtown Dubai","Featured"
"4462",65000,"Apartment","1 ",750,"Sobha Hartland"," Mohammed Bin Rashid City","Featured"
"4463",42000,"Apartment","1 ",970," Emirates Gardens 2"," Jumeirah Village Circle","Featured"
"4464",65000,"Apartment","2 ",1250,"Airport Road Area"," Al Garhoud","Featured"
"4465",40000,"Apartment","1 ",1190,"Al Warsan 4"," Al Warsan","Featured"
"4466",50000,"Apartment","2 ",1600,"Mankhool"," Bur Dubai","Featured"
"4467",39000,"Apartment","1 ",868,"Al Warsan 4"," Al Warsan","Featured"
"4468",55000,"Apartment","2 ",1592,"Al Warsan 4"," Al Warsan","Featured"
"4469",43990,"Apartment","1 ",654,"Al Barsha 1"," Al Barsha","Featured"
"4470",75000,"Apartment","2 ",1500,"Al Barsha 1"," Al Barsha","Featured"
"4471",NA,"Apartment","4 ",3170,"The Fairmont Palm Residences"," Palm Jumeirah","Featured"
"4472",48000,"Apartment","1 ",850,"Al Barsha 1"," Al Barsha","Featured"
"4473",40000,"Apartment","1 ",750,"Al Barsha 1"," Al Barsha","Featured"
"4474",79200,"Apartment","2 ",1474,"Madinat Badr"," Al Muhaisnah","Featured"
"4475",55000,"Apartment","1 ",769,"Dune Residency"," Jumeirah Village Circle","Featured"
"4476",165000,"Apartment","3 ",1956,"Al Habtoor City"," Business Bay","Featured"
"4477",17000,"Apartment","studio ",290,"Al Murar"," Deira","Featured"
"4478",114999,"Apartment","1 ",891," BLVD Heights"," Downtown Dubai","Featured"
"4479",63000,"Apartment","1 ",725," Lake Almas West"," Jumeirah Lake Towers","Featured"
"4480",230000,"Apartment","2 ",1403,"Damac Heights"," Dubai Marina","Featured"
"4481",42000,"Apartment","1 ",1032," Emirates Gardens 2"," Jumeirah Village Circle","Featured"
"4482",490000,"Apartment","3 ",2220,"The Address The BLVD"," Downtown Dubai","Featured"
"4483",115000,"Apartment","1 ",745," EMAAR Beachfront"," Dubai Harbour","Featured"
"4484",145000,"Apartment","2 ",1587,"DAMAC Towers by Paramount"," Business Bay","Featured"
"4485",112000,"Apartment","1 ",900," BLVD Heights"," Downtown Dubai","Featured"
"4486",105000,"Apartment","1 ",946," The Residences"," Downtown Dubai","Featured"
"4487",150000,"Apartment","2 ",1188," Shams"," Jumeirah Beach Residence","Featured"
"4488",1e+05,"Apartment","1 ",773," Marina Gate"," Dubai Marina","Featured"
"4489",74999,"Apartment","2 ",1101,"Resortz by Danube"," Arjan","Featured"
"4490",36000,"Apartment","studio ",372,"Bloom Towers"," Jumeirah Village Circle","Featured"
"4491",25000,"Apartment","1 ",450,"Hor Al Anz"," Deira","Featured"
"4492",55000,"Apartment","2 ",1250,"Al Raffa"," Bur Dubai","Featured"
"4493",32000,"Apartment","studio ",550,"Regina Tower"," Jumeirah Village Circle","Featured"
"4494",110000,"Apartment","1 ",787," Madinat Jumeirah Living"," Umm Suqeim","Featured"
"4495",135000,"Apartment","2 ",1477," The Links"," The Views","Featured"
"4496",NA,"Apartment","2 ",1008," Al Qusais Residential Area"," Al Qusais","Featured"
"4497",4e+05,"Apartment","3 ",1850,"The Address Sky View Towers"," Downtown Dubai","Featured"
"4498",32000,"Apartment","studio ",391,"Azizi Plaza"," Al Furjan","Featured"
"4499",52000,"Apartment","1 ",850,"Mankhool"," Bur Dubai","Featured"
"4500",22000,"Apartment","studio ",400," Naif"," Deira","Featured"
"4501",79000,"Apartment","2 ",1416,"Corniche Deira"," Deira","Featured"
"4502",42000,"Apartment","1 ",1000,"Al Hamriya"," Bur Dubai","Featured"
"4503",120000,"Apartment","1 ",891," BLVD Heights"," Downtown Dubai","Featured"
"4504",27999,"Apartment","studio ",484,"Mediterranean Cluster"," Discovery Gardens","Featured"
"4505",160000,"Apartment","2 ",2012," Shoreline Apartments"," Palm Jumeirah","Featured"
"4506",25000,"Apartment","studio ",450," Silicon Gates"," Dubai Silicon Oasis","Featured"
"4507",105000,"Apartment","1 ",1852," 29 Burj Boulevard"," Downtown Dubai","Featured"
"4508",115000,"Apartment","2 ",1400,"Umm Suqeim 3"," Umm Suqeim","Featured"
"4509",80000,"Apartment","1 ",1287,"Jumeirah 2"," Jumeirah","Featured"
"4510",249000,"Apartment","1 ",1142," Bluewaters Residences"," Bluewaters","Featured"
"4511",90000,"Apartment","3 ",1550,NA,"The Gardens","Featured"
"4512",125000,"Apartment","2 ",1420," Marina Promenade"," Dubai Marina","Featured"
"4513",255000,"Apartment","2 ",1716,"Burj Khalifa Area"," Downtown Dubai","Featured"
"4514",72000,"Apartment","2 ",1404," Lake Almas West"," Jumeirah Lake Towers","Featured"
"4515",42000,"Apartment","1 ",970," Emirates Gardens 2"," Jumeirah Village Circle","Featured"
"4516",130000,"Apartment","1 ",639,"Dubai Marina Moon"," Dubai Marina","Featured"
"4517",59000,"Apartment","2 ",971,"Lawnz by Danube"," International City","Featured"
"4518",65000,"Apartment","studio ",700," Shams"," Jumeirah Beach Residence","Featured"
"4519",79999,"Apartment","1 ",993," Lake Almas West"," Jumeirah Lake Towers","Featured"
"4520",58500,"Apartment","2 ",1420,NA,"Al Nahda","Featured"
"4521",98000,"Apartment","3 ",1625,NA,"Bur Dubai","Featured"
"4522",36000,"Apartment","1 ",729,"Anchorage Residence"," Dubai South (Dubai World Central)","Featured"
"4523",69500,"Apartment","3 ",1400,NA,"Al Nahda","Featured"
"4524",155000,"Apartment","1 ",1882," Oceana"," Palm Jumeirah","Featured"
"4525",42000,"Apartment","1 ",800,"Al Jaddaf Residence"," Al Jaddaf","Featured"
"4526",85000,"Apartment","2 ",1700,"Noor Al Safa Building"," Al Jaddaf","Featured"
"4527",30000,"Apartment","studio ",621,"Emirates Gardens 1"," Jumeirah Village Circle","Featured"
"4528",145000,"Apartment","2 ",1430," The Residences"," Downtown Dubai","Featured"
"4529",194999,"Apartment","3 ",1775,"5242"," Dubai Marina","Featured"
"4530",69888,"Apartment","1 ",861,"Princess Tower"," Dubai Marina","Featured"
"4531",68000,"Apartment","1 ",782,NA,"Bur Dubai","Featured"
"4532",55000,"Apartment","1 ",813," Meydan Avenue"," Meydan","Featured"
"4533",58000,"Apartment","1 ",858,NA,"Bur Dubai","Featured"
"4534",52000,"Apartment","2 ",1012," Elite Sports Residence"," Dubai Sports City","Featured"
"4535",50000,"Apartment","2 ",1390," Al Qusais Residential Area"," Al Qusais","Featured"
"4536",85000,"Apartment","2 ",1288," Al Barsha 1"," Al Barsha","Featured"
"4537",550000,"Apartment","3 ",1867," The Address Jumeirah Resort and Spa"," Jumeirah Beach Residence","Featured"
"4538",89999,"Apartment","1 ",936," Mohammad Bin Rashid Boulevard"," Downtown Dubai","Featured"
"4539",120000,"Apartment","1 ",755," Bay Central"," Dubai Marina","Featured"
"4540",160000,"Apartment","2 ",1700,"Al Fattan Marine Towers"," Jumeirah Beach Residence","Featured"
"4541",45000,"Apartment","1 ",775," Al Barsha South"," Al Barsha","Featured"
"4542",190000,"Apartment","2 ",1382," BLVD Heights"," Downtown Dubai","Featured"
"4543",69999,"Apartment","1 ",750,"UP Tower"," Sheikh Zayed Road","Featured"
"4544",125000,"Apartment","3 ",1500,"UP Tower"," Sheikh Zayed Road","Featured"
"4545",52000,"Apartment","1 ",739,"The Residences at Business Central"," Business Bay","Featured"
"4546",120000,"Apartment","2 ",1250,"Upper Crest"," Downtown Dubai","Featured"
"4547",60000,"Apartment","1 ",755,"The Wings"," Arjan","Featured"
"4548",80000,"Apartment","1 ",1287,"Jumeirah 2"," Jumeirah","Featured"
"4549",38000,"Apartment","1 ",705,"Al Nahda 2"," Al Nahda","Featured"
"4550",37000,"Apartment","1 ",750," La Riviera Estate"," Jumeirah Village Circle","Featured"
"4551",45000,"Apartment","1 ",610," The Drive"," DAMAC Hills","Featured"
"4552",80000,"Apartment","1 ",993," Lake Almas West"," Jumeirah Lake Towers","Featured"
"4553",50000,"Apartment","1 ",711," The Drive"," DAMAC Hills","Featured"
"4554",210000,"Apartment","1 ",905,"The Address The BLVD"," Downtown Dubai","Featured"
"4555",60000,"Apartment","1 ",1023,"Dubai Wharf"," Culture Village","Featured"
"4556",45000,"Apartment","1 ",611," The Drive"," DAMAC Hills","Featured"
"4557",75000,"Apartment","1 ",710,"Damac Maison Cour Jardin"," Business Bay","Featured"
"4558",26000,"Apartment","studio ",484,"Emirates Cluster"," International City","Featured"
"4559",125000,"Apartment","2 ",1540,"Park Gate Residences"," Al Kifaf","Featured"
"4560",55000,"Apartment","1 ",980,"Celestia"," Dubai South (Dubai World Central)","Featured"
"4561",110000,"Apartment","1 ",900,NA,"DIFC","Featured"
"4562",20990,"Apartment","studio ",380," Lakeside Residence"," Dubai Production City (IMPZ)","Featured"
"4563",63000,"Apartment","3 ",1850," Al Qusais Residential Area"," Al Qusais","Featured"
"4564",330000,"Apartment","3 ",2728," Burj Khalifa Area"," Downtown Dubai","Featured"
"4565",40000,"Apartment","1 ",1000,"UniEstate Mansion"," Dubai Investment Park","Featured"
"4566",32000,"Apartment","1 ",484," Naif"," Deira","Featured"
"4567",54000,"Apartment","1 ",727," Marina Diamonds"," Dubai Marina","Featured"
"4568",37999,"Apartment","studio ",535,"Dezire Residences"," Jumeirah Village Circle","Featured"
"4569",55000,"Apartment","1 ",475,"Collective 2.0"," Dubai Hills Estate","Featured"
"4570",61000,"Apartment","2 ",1578,"Discovery Gardens Pavilion"," Discovery Gardens","Featured"
"4571",70000,"Apartment","2 ",1240," District 18"," Jumeirah Village Circle","Featured"
"4572",80000,"Apartment","1 ",772," The Fairways"," The Views","Featured"
"4573",1e+05,"Apartment","1 ",1030," Marina Promenade"," Dubai Marina","Featured"
"4574",114888,"Apartment","1 ",735," EMAAR Beachfront"," Dubai Harbour","Featured"
"4575",114888,"Apartment","1 ",735," EMAAR Beachfront"," Dubai Harbour","Featured"
"4576",320000,"Apartment","3 ",2379," The Residences"," Downtown Dubai","Featured"
"4577",57500,"Apartment","1 ",873," Al Abraj street"," Business Bay","Featured"
"4578",60000,"Apartment","2 ",1905," Al Nahda 1"," Al Nahda","Featured"
"4579",100899,"Apartment","3 ",1743,"wasl port views"," Al Mina","Featured"
"4580",32000,"Apartment","studio ",700,"Hassani 20"," Nadd Al Hammar","Featured"
"4581",27980,"Apartment","studio ",470,"Loreto"," DAMAC Hills","Featured"
"4582",55000,"Apartment","1 ",950,"Al Barsha 1"," Al Barsha","Featured"
"4583",27000,"Apartment","studio ",470," Elite Sports Residence"," Dubai Sports City","Featured"
"4584",66000,"Apartment","1 ",772,"Madison Residency"," Barsha Heights (Tecom)","Featured"
"4585",60000,"Apartment","studio ",642,"DEC Towers"," Dubai Marina","Featured"
"4586",65000,"Apartment","1 ",740," Al Dhafra"," Greens","Featured"
"4587",102399,"Apartment","3 ",1876,"wasl Topaz"," Karama","Featured"
"4588",40000,"Apartment","1 ",850,"Al Quoz 1"," Al Quoz","Featured"
"4589",33000,"Apartment","studio ",490," Mediterranean Cluster"," Discovery Gardens","Featured"
"4590",230000,"Apartment","2 ",1403,"Damac Heights"," Dubai Marina","Featured"
"4591",125000,"Apartment","2 ",1317," Murjan"," Jumeirah Beach Residence","Featured"
"4592",69000,"Apartment","2 ",1512," Queue Point"," Dubai Land","Featured"
"4593",158000,"Apartment","3 ",1516," Burj Khalifa Area"," Downtown Dubai","Featured"
"4594",130000,"Apartment","1 ",800,"Dubai Marina Moon"," Dubai Marina","Featured"
"4595",74999,"Apartment","2 ",1101,"Resortz by Danube"," Arjan","Featured"
"4596",85000,"Apartment","1 ",828,"Upper Crest"," Downtown Dubai","Featured"
"4597",75000,"Apartment","2 ",1230,"Al Muteena"," Deira","Featured"
"4598",78000,"Apartment","1 ",866," Jumeira Beach Road"," Jumeirah","Featured"
"4599",28000,"Apartment","studio ",859,"Al Warsan 4"," Al Warsan","Featured"
"4600",29999,"Apartment","studio ",500,"Mogul Cluster"," Discovery Gardens","Featured"
"4601",260000,"Apartment","2 ",1452," The Address Residence Fountain Views"," Downtown Dubai","Featured"
"4602",59000,"Apartment","2 ",971,"Lawnz by Danube"," International City","Featured"
"4603",52000,"Apartment","1 ",850,"Mankhool"," Bur Dubai","Featured"
"4604",42000,"Apartment","2 ",1250," Al Qusais Industrial Area"," Al Qusais","Featured"
"4605",55000,"Apartment","1 ",783," Al Raffa"," Bur Dubai","Featured"
"4606",27999,"Apartment","studio ",500,"Lincoln Park"," Arjan","Featured"
"4607",50000,"Apartment","2 ",1100,"Al Mamzar"," Deira","Featured"
"4608",77399,"Apartment","2 ",1453,"wasl Ruby"," Karama","Featured"
"4609",67399,"Apartment","2 ",1170,"wasl Ruby"," Karama","Featured"
"4610",57999,"Apartment","1 ",703,"Time Place Tower"," Dubai Marina","Featured"
"4611",55000,"Apartment","2 ",845,"Hor Al Anz"," Deira","Featured"
"4612",108000,"Apartment","3 ",1507,"Bloom Heights"," Jumeirah Village Circle","Featured"
"4613",1e+05,"Apartment","1 ",773," Marina Gate"," Dubai Marina","Featured"
"4614",65000,"Apartment","2 ",1206," Al Hamriya"," Bur Dubai","Featured"
"4615",24000,"Apartment","studio ",300,"Al Hamriya"," Bur Dubai","Featured"
"4616",30000,"Apartment","studio ",350,"Al Muteena"," Deira","Featured"
"4617",80000,"Apartment","2 ",1500," Al Nahda 1"," Al Nahda","Featured"
"4618",143999,"Apartment","1 ",913,"The Lofts"," Downtown Dubai","Featured"
"4619",32000,"Apartment","1 ",800,"CBD (Central Business District)"," International City","Featured"
"4620",33000,"Apartment","1 ",750,"Al Hamriya"," Bur Dubai","Featured"
"4621",135000,"Apartment","1 ",884,"Index Tower"," DIFC","Featured"
"4622",170000,"Apartment","2 ",1760,"Elite Business Bay Residence"," Business Bay","Featured"
"4623",36000,"Apartment","1 ",800,"Al Hamriya"," Bur Dubai","Featured"
"4624",95000,"Apartment","1 ",780,"Bunyan Tower"," Dubai Marina","Featured"
"4625",62000,"Apartment","3 ",1650,"Al Nahda 2"," Al Nahda","Featured"
"4626",52000,"Apartment","2 ",1180," Al Quoz 2"," Al Quoz","Featured"
"4627",71000,"Apartment","2 ",1306,"Al Manzel"," Karama","Featured"
"4628",74998,"Apartment","1 ",855,"Bay's Edge"," Business Bay","Featured"
"4629",299999,"Apartment","2 ",1712," Burj Khalifa Area"," Downtown Dubai","Featured"
"4630",35000,"Apartment","1 ",769,"Royal Residence"," Dubai Sports City","Featured"
"4631",45000,"Apartment","1 ",950," Hor Al Anz"," Deira","Featured"
"4632",35500,"Apartment","studio ",450,NA,"The Gardens","Featured"
"4633",38000,"Apartment","1 ",1000,NA,"Nadd Al Hammar","Featured"
"4634",36000,"Apartment","1 ",740,"Anchorage Residence"," Dubai South (Dubai World Central)","Featured"
"4635",30000,"Apartment","studio ",350,"Devet 1 Tower"," Al Jaddaf","Featured"
"4636",75000,"Apartment","2 ",1200,"Al Jaddaf Residence"," Al Jaddaf","Featured"
"4637",52000,"Apartment","2 ",1122,"Celestia"," Dubai South (Dubai World Central)","Featured"
"4638",44000,"Apartment","studio ",658,"Widcombe House"," Motor City","Featured"
"4639",75000,"Apartment","1 ",1108,"Windsor Manor"," Business Bay","Featured"
"4640",95000,"Apartment","1 ",796,"Standpoint Towers"," Downtown Dubai","Featured"
"4641",32000,"Apartment","studio ",399," Azizi Residence"," Al Furjan","Featured"
"4642",495000,"Apartment","3 ",2437," The Address Sky View Towers"," Downtown Dubai","Featured"
"4643",35500,"Apartment","studio ",450,NA,"The Gardens","Featured"
"4644",79999,"Apartment","2 ",796," Sobha Hartland"," Mohammed Bin Rashid City","Featured"
"4645",32000,"Apartment","studio ",432,"The Square Tower"," Jumeirah Village Circle","Featured"
"4646",45000,"Apartment","studio ",417," Marina Diamonds"," Dubai Marina","Featured"
"4647",60000,"Apartment","2 ",1436," Al Qusais Residential Area"," Al Qusais","Featured"
"4648",30000,"Apartment","studio ",527,NA,"Discovery Gardens","Featured"
"4649",125000,"Apartment","2 ",1572,"Park Gate Residences"," Al Kifaf","Featured"
"4650",95000,"Apartment","2 ",1564," Ubora Towers"," Business Bay","Featured"
"4651",114996,"Apartment","1 ",1002,"Upper Crest"," Downtown Dubai","Featured"
"4652",34999,"Apartment","studio ",412,"District 18"," Jumeirah Village Circle","Featured"
"4653",114999,"Apartment","2 ",1787,"Q Gardens Boutique Residences"," Arjan","Featured"
